GAME DATE,AWAY TEAM,HOME TEAM
8/30/2012,Central Florida,AKRON
8/30/2012,EASTERN MICHIGAN,BALL STATE
8/30/2012,EASTERN WASHINGTON,IDAHO
8/30/2012,MASSACHUSETTS,CONNECTICUT
8/30/2012,MINNESOTA,UNLV
8/30/2012,NORTHERN COLORADO,UTAH
8/30/2012,Southeast Missouri State,CENTRAL MICHIGAN
8/30/2012,SOUTH CAROLINA,VANDERBILT
8/30/2012,SOUTHERN UTAH,UTAH STATE
8/30/2012,TEXAS A&M,LOUISIANA TECH
8/30/2012,TOWSON,KENT STATE
8/30/2012,UCLA,RICE
8/31/2012,BOISE STATE,MICHIGAN STATE
8/31/2012,NORTH CAROLINA STATE,TENNESSEE
8/31/2012,VILLANOVA,TEMPLE
8/31/2012,WAGNER,FLORIDA ATLANTIC
9/1/2012,ALABAMA,MICHIGAN
9/1/2012,APPALACHIAN STATE,EAST CAROLINA
9/1/2012,ARKANSAS STATE,OREGON
9/1/2012,AUBURN,CLEMSON
9/1/2012,AUSTIN PEAY,WESTERN KENTUCKY
9/1/2012,BOWLING GREEN,FLORIDA
9/1/2012,BUFFALO,GEORGIA
9/1/2012,CENTRAL ARKANSAS,Ole Miss
9/1/2012,CHATTANOOGA,SOUTH FLORIDA
9/1/2012,EASTERN KENTUCKY,PURDUE
9/1/2012,Elon,NORTH CAROLINA
9/1/2012,FLORIDA INTERNATIONAL,DUKE
9/1/2012,HAWAII,USC
9/1/2012,IDAHO STATE,AIR FORCE
9/1/2012,INDIANA STATE,INDIANA
9/1/2012,IOWA,NORTHERN ILLINOIS
9/1/2012,JACKSON STATE,MISSISSIPPI STATE
9/1/2012,JACKSONVILLE STATE,ARKANSAS
9/1/2012,KENTUCKY,LOUISVILLE
9/1/2012,LAMAR,Louisiana-Lafayette
9/1/2012,LIBERTY,WAKE FOREST
9/1/2012,MARSHALL,WEST VIRGINIA
9/1/2012,MCNEESE STATE,Middle Tennessee
9/1/2012,MIAMI FL,BOSTON COLLEGE
9/1/2012,MIAMI OH,OHIO STATE
9/1/2012,MISSOURI STATE,KANSAS STATE
9/1/2012,MURRAY STATE,FLORIDA STATE
9/1/2012,NAVY,NOTRE DAME
9/1/2012,NEVADA,CALIFORNIA
9/1/2012,NICHOLLS STATE,OREGON STATE
9/1/2012,NORTH TEXAS,LSU
